Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
ECER137 Choc Frontal Mur Rigide 50km/h 100%;Choc Frontal Grande Vitesse;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Structure;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
ENCAP Choc Frontal Mur Rigide 50km/h 100%;Choc Frontal Grande Vitesse;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Structure;Toutes catégories;Numérique;75%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
GB11551 Choc Frontal Mur Rigide 50km/h 100%;Choc Frontal Grande Vitesse;MG2 CAE;Synthèse;X;Chine;Sécurité Passive;Structure;Toutes catégories;Numérique;30%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
KMVSS102 Choc Frontal Mur Rigide 48,3km/h 100%;Choc Frontal Grande Vitesse;MG2 CAE;Synthèse;X;Korée;Sécurité Passive;Structure;Toutes catégories;Numérique;10%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
TRIAS18 Choc Frontal Mur Rigide 50km/h 100%;Choc Frontal Grande Vitesse;MG2 CAE;Synthèse;X;Chine;Sécurité Passive;Structure;Toutes catégories;Numérique;10%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
UNCAP Choc Frontal Mur Rigide 56,3km/h 100%;Choc Frontal Grande Vitesse;MG2 CAE;Synthèse;X;US;Sécurité Passive;Structure;Toutes catégories;Numérique;20%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
ENCAP Choc Frontal BFD 64km/h 40%;Choc Frontal Grande Vitesse;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Structure;Toutes catégories;Numérique;75%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
ENCAP Choc Frontal MPDB 1400kg 50km/h 50%;Choc Frontal Grande Vitesse;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Structure;Toutes catégories;Numérique;75%;NC;Développement;NC;;;Non;Face avant (Front-end);Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];NC;NC
ECER14 Résistance des ancrages de ceintures;Choc Frontal Pulse ;MG2 CAE;Sous système;X;Europe;Sécurité Passive;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
ECER17 Résistance Choc Bagages;Choc Frontal Pulse ;MG2 CAE;Sous système;X;Europe;Sécurité Passive;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Calcul Frontal Occupant Safety;Choc Frontal Habitacle;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Biomécanique;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
