Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP _ Real Driving Emissions (RDE)_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;45.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur essence _ Pollu/Conso _ WLTP _ Real Driving Emissions (RDE) + -7°_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;65.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];Nous récupérons les données... Veuillez patienter quelques secondes, puis réessayer de couper ou copier.;Dédié 
Emissions _ Moteur essence _ Evaporation _ 48 h avec baking _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (1 configuration de test)_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;65.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (2 configurations de test)_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;90.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (1 configuration de test) + Ki_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;45.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  23° + double testing NEDC VH/VL (1 configuration de test) + 14 ° + Ki_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;90.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ 23° + double testing NEDC VH/VL _ en sustaining, en depleting + autonomie ZEV_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;70%;TBD;Développement;135.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ 23° + double testing NEDC VH/VL _ en sustaining, en depleting + autonomie ZEV + 14° en sustaining_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;70%;TBD;Développement;145.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ 23° + double testing NEDC VH/VL _ en sustaining, en depleting + autonomie ZEV + ki_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;70%;TBD;Développement;150.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ 23° + double testing NEDC VH/VL _ en sustaining, en depleting + autonomie ZEV + 14° en sustaining + Ki_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;70%;TBD;Développement;160.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ BEV _ WLTP _ 23° VH/VL _ autonomie mode par  défaut_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;65.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/conso _ NEDC_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;65.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique _ Pollu/Conso _ WLTP_  Ki _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;40.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP_  Ki _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;40.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur essence _ Pollu/Conso _ WLTP _ - 7°_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;25.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ Real Driving Emissions (RDE)_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;45.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ Real Driving Emissions (RDE) + - 7°_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;65.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Pollu/Conso _ WLTP _ - 7°_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;25.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique_WLTP_Accès aux informations EOBD _ Test perturbateur_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ NEDC_Accès aux informations EOBD _ Test perturbateur_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;85.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV_WLTP_Accès aux informations EOBD _ Test perturbateur_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;85.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Evaporation _ 48 h avec baking _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen; Essai  Evaporation;Evaporation;M1,N1 ;Physique ;70%;TBD;Développement;140.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur essence _ Evaporation _ 48 h sans baking _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen; Essai  Evaporation;Evaporation;M1,N1 ;Physique ;70%;TBD;Développement;50.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur essence _ Evaporation _ 24 h _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen; Essai  Evaporation;Evaporation;M1,N1 ;Physique ;70%;TBD;Développement;30.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV _ Evaporation _ 48 h sans baking _homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen; Essai  Evaporation;Evaporation;M1,N1 ;Physique ;70%;TBD;Développement;50.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ Moteur thermique_Coast Down _ NEDC _ Perte de trains_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;70.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ PHEV_Coast Down _ WLTP _ Perte de trains_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;70.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Emissions _ BEV_Coast Down _ WLTP _ Perte de trains_homologation;CONTROL VEHICLE EMISSIONS;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;M1,N1 ;Physique ;70%;TBD;Développement;70.0;UTAC France;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
FMVSS 302 inflammabilité  : homologation;BODY INTERIOR EQUIPMENT;MG2 - DMA CAP-P part;Synthèse;X;pays européen;Inflammabilité;Essai inflammabilité FMVSS 302;M1,N1 ;Physique ;70%;TBD;Développement;20.0;UTAC France;;Oui;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Bruits de condamnation/décondamnation des ouvrants;SAFE OPENING AND CLOSING OF THE VEHICLE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.5;Cetiev / ITLINK /AVL ;;OUI;Habitacle;Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Partagé
Détection d'obstacle/Anti pincement volet motorisé (DS-ER4);SAFE OPENING AND CLOSING OF THE VEHICLE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Habitacle;Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Partagé
Manœuvre de vitre AV;SAFE OPENING AND CLOSING OF THE VEHICLE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;4.0;Cetiev / ITLINK /AVL ;;OUI;Habitacle;Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];MC - Full test equipment;Partagé
Développement calibration DSGi;VEHICLE DYNAMICS;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;30.0;Cetiev / ITLINK /AVL ;;OUI;Face avant & Face arrière;Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];MC - Full test equipment;Partagé
Validation DSGI;VEHICLE DYNAMICS;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face avant & Face arrière;Niveau 2 : Niveau 1 + Sacs AV/ARR + Jantes Roues [Modification Moyenne, Structure véhicule faiblement modifiée];MC - Full test equipment;Partagé
Gestion d'énergie STT / Volt Control;VEHICLE DYNAMICS;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;20.0;Cetiev / ITLINK /AVL ;;OUI;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Validation calibration DAE - Autorisation de roulage;VEHICLE DYNAMICS;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;1.0;Cetiev / ITLINK /AVL ;;OUI;Direction assistée;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
DAA_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;40.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
DAA_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_PROH_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_PROH_PHYSIC;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
FARC_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ACC_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_MAINSTREAM_PROH_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;2.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ACC_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ACC_PROVfsc_Physique;TECHNICAL FUNCTIONAL ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_ENTRY_PROM_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_MAINSTREAM_PROM_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_MAINSTREAM_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;6.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
RVV_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;3.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ACC3_PROVFSC_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
RVV_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;3.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LVV_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
CPK2_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
CPK_PROVa_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;5.0;Cetiev / ITLINK /AVL ;;OUI;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
CPK2_PROVE_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;4.0;Cetiev / ITLINK /AVL ;;OUI;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
